unit1Seq,subjectSeq,name,sname,regdate
0,0,분류없음,NULL,"2020-11-15 11:11:30"
1,1,"1 다항식",다항식,"2020-11-09 12:48:03"
2,1,"2 방정식과 부등식","방정식과 부등식","2020-11-09 12:48:03"
3,1,"3 도형의 방정식","도형의 방정식","2020-11-09 12:48:03"
6,2,"1 집합과 명제","집합과 명제","2021-03-05 15:56:39"
7,2,"2 함수",함수,"2021-03-06 11:50:33"
8,2,"3 경우의 수","경우의 수","2021-03-06 11:50:33"
9,3,"1 지수함수와 로그함수","지수함수와 로그함수","2021-06-11 13:17:51"
10,3,"2 삼각함수",삼각함수,"2021-06-11 13:17:51"
11,3,"3 수열",수열,"2021-06-11 13:17:51"
12,4,"1 함수의 극한과 연속","함수의 극한과 연속","2021-06-11 13:37:40"
13,4,"2 미분",미분,"2021-06-11 13:37:40"
14,4,"3 적분",적분,"2021-06-11 13:37:40"
15,10,"1 소인수분해",소인수분해,"2021-06-30 16:46:52"
16,10,"2 정수와 유리수","정수와 유리수","2021-06-30 16:46:52"
17,10,"3 문자와 식","문자와 식","2021-06-30 16:46:52"
18,10,"4 좌표평면과 그래프","좌표평면과 그래프","2021-06-30 16:46:52"
19,11,"1 기본 도형","기본 도형","2021-06-30 16:46:52"
20,11,"2 평면도형",평면도형,"2021-06-30 16:46:52"
21,11,"3 입체도형",입체도형,"2021-06-30 16:46:52"
22,11,"4 통계",통계,"2021-06-30 16:46:52"
23,12,"1 유리수와 순환소수","유리수와 순환소수","2021-06-30 16:46:52"
24,12,"2 식의 계산","식의 계산","2021-06-30 16:46:52"
25,12,"3 일차부등식과 연립일차방정식","일차부등식과 연립일차방정식","2021-06-30 16:46:52"
26,12,"4 일차함수",일차함수,"2021-06-30 16:46:53"
27,13,"1 삼각형의 성질","삼각형의 성질","2021-06-30 16:46:53"
28,13,"2 사각형의 성질","사각형의 성질","2021-06-30 16:46:53"
29,13,"3 도형의 닮음과 피타고라스 정리","도형의 닮음과 피타고라스 정리","2021-06-30 16:46:53"
30,13,"4 확률",확률,"2021-06-30 16:46:53"
31,14,"1 실수와 그 연산","실수와 그 연산","2021-06-30 16:46:53"
32,14,"2 다항식의 곱셈과 인수분해","다항식의 곱셈과 인수분해","2021-06-30 16:46:53"
33,14,"3 이차방정식",이차방정식,"2021-06-30 16:46:53"
34,14,"4 이차함수",이차함수,"2021-06-30 16:46:53"
35,15,"1 삼각비",삼각비,"2021-06-30 16:46:53"
36,15,"2 원의 성질","원의 성질","2021-06-30 16:46:53"
37,15,"3 통계",통계,"2021-06-30 16:46:53"
38,16,"0 초등(임시)",초등(임시),"2021-07-27 16:14:09"
39,2,"중간 대비","중간 대비","2021-09-09 12:38:51"
40,2,"기말 대비","기말 대비","2021-09-09 12:38:51"
41,17,"1 도형",도형,"2021-10-12 13:03:39"
42,17,"2 함수",함수,"2021-10-12 13:03:41"
43,17,"3 대수",대수,"2021-10-12 13:03:43"
44,17,"4 확통",확통,"2021-10-12 13:03:44"
45,1,전범위,전범위,"2021-12-17 10:39:13"
46,2,전범위,전범위,"2021-12-17 10:39:13"
