unit2Seq,unit1Seq,name,sname,regdate,gradeCode,semesterCode
0,0,분류없음,분류없음,"2020-11-15 11:12:22",NULL,NULL
1,1,"01 다항식의 연산","다항식의 연산","2020-11-09 12:52:59",17,21
2,1,"02 항등식과 나머지정리","항등식과 나머지정리","2020-11-09 12:52:59",17,21
3,1,"03 인수분해",인수분해,"2020-11-09 12:52:59",17,21
4,2,"04 복소수",복소수,"2020-11-09 12:54:25",17,21
5,2,"05 이차방정식",이차방정식,"2020-11-09 12:54:25",17,21
6,2,"06 이차방정식과 이차함수","이차방정식과 이차함수","2020-11-09 12:54:25",17,21
7,2,"07 여러 가지 방정식","여러 가지 방정식","2020-11-09 12:54:25",17,21
8,2,"08 연립일차부등식",연립일차부등식,"2020-11-09 12:54:25",17,21
9,2,"09 이차부등식과 연립이차부등식","이차부등식과 연립이차부등식","2020-11-09 12:54:25",17,21
10,3,"10 평면좌표",평면좌표,"2020-11-09 12:55:18",17,21
11,3,"11 직선의 방정식","직선의 방정식","2020-11-09 12:55:18",17,21
12,3,"12 원의 방정식","원의 방정식","2020-11-09 12:55:18",17,21
13,3,"13 도형의 이동","도형의 이동","2020-11-09 12:55:18",17,21
15,6,"01 집합의 뜻과 표현","집합의 뜻과 표현","2021-03-05 15:57:20",17,22
16,6,"02 집합의 연산","집합의 연산","2021-03-05 15:57:20",17,22
17,6,"03 명제",명제,"2021-03-05 15:57:20",17,22
18,7,"04 함수",함수,"2021-03-06 11:55:02",17,22
19,7,"05 유리함수",유리함수,"2021-03-06 11:55:02",17,22
20,7,"06 무리함수",무리함수,"2021-03-06 11:55:02",17,22
21,8,"07 경우의 수와 순열","경우의 수와 순열","2021-03-06 11:55:02",17,22
22,8,"08 조합",조합,"2021-03-06 11:55:02",17,22
23,9,"01 지수",지수,"2021-06-11 13:46:01",18,21
24,9,"02 로그",로그,"2021-06-11 13:46:01",18,21
25,9,"03 지수함수",지수함수,"2021-06-11 13:46:01",18,21
26,9,"04 로그함수",로그함수,"2021-06-11 13:46:01",18,21
27,10,"05 삼각함수",삼각함수,"2021-06-11 13:46:01",18,21
28,10,"06 삼각함수의 그래프","삼각함수의 그래프","2021-06-11 13:46:01",18,21
29,10,"07 삼각함수의 활용","삼각함수의 활용","2021-06-11 13:46:01",18,21
30,11,"08 등차수열과 등비수열","등차수열과 등비수열","2021-06-11 13:46:01",18,21
31,11,"09 수열의 합","수열의 합","2021-06-11 13:46:01",18,21
32,11,"10 수학적 귀납법","수학적 귀납법","2021-06-11 13:46:01",18,21
33,12,"01 함수의 극한","함수의 극한","2021-06-11 13:46:01",18,22
34,12,"02 함수의 연속","함수의 연속","2021-06-11 13:46:01",18,22
35,13,"03 미분계수와 도함수","미분계수와 도함수","2021-06-11 13:46:01",18,22
36,13,"04 도함수의 활용(1)","도함수의 활용(1)","2021-06-11 13:46:01",18,22
37,13,"05 도함수의 활용(2)","도함수의 활용(2)","2021-06-11 13:46:01",18,22
38,13,"06 도함수의 활용(3)","도함수의 활용(3)","2021-06-11 13:46:01",18,22
39,14,"07 부정적분",부정적분,"2021-06-11 13:46:01",18,22
40,14,"08 정적분",정적분,"2021-06-11 13:46:01",18,22
41,14,"09 정적분의 활용","정적분의 활용","2021-06-11 13:46:01",18,22
42,15,"01 소인수분해",소인수분해,"2021-06-30 16:51:40",14,21
43,15,"02 최대공약수와 최소공배수","최대공약수와 최소공배수","2021-06-30 16:51:40",14,21
44,16,"03 정수와 유리수","정수와 유리수","2021-06-30 16:51:40",14,21
45,16,"04 정수와 유리수의 계산","정수와 유리수의 계산","2021-06-30 16:51:40",14,21
46,17,"05 문자의 사용과 식의 계산","문자의 사용과 식의 계산","2021-06-30 16:51:40",14,21
47,17,"06 일차방정식의 풀이","일차방정식의 풀이","2021-06-30 16:51:40",14,21
48,17,"07 일차방정식의 활용","일차방정식의 활용","2021-06-30 16:51:40",14,21
